Extensive Reading Foundation Graded Reader List																												
Cambridge U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data									Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEFR level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN C (ebook)	Audio available free online	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
CDIR2	Cambridge U. Press	Shoot to Kill: Why We Hunt	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,698 				Y	3	NF		Teen/adult	9781107622531					Yes				
CDIR2	Cambridge U. Press	Slow Motion: Taking Your Time	Holmes, Karen	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,627 				N	3	NF		Teen/adult	9781107691292					Yes				
CDIR2	Cambridge U. Press	Stealing	Maule, David	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,384 				N	3	NF		Teen/adult	9781107677746					Yes				
CDIR2	Cambridge U. Press	Wonders of the World	Harris, Nic	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,626 				Y	3	NF		Teen/adult	9781107642980					Yes				
CDIR2	Cambridge U. Press	Young and Amazing: Teens at the Top	Beaver, Simon	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,701 				N	3	NF		Teen/adult	9781107622524					Yes				
CDIR2	Cambridge U. Press	Your Dream Vacation	Evento, Susan	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,511 				Y	3	NF		Teen/adult	9781107690431					Yes				
CDIR3	Cambridge U. Press	Aliens: Is Anybody Out There?	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,934 				Y	4	NF		Teen/adult	9781107660007					Yes				
CDIR3	Cambridge U. Press	Bones: And the Stories They Tell	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,353 				N	5	NF		Teen/adult	9781107670549					Yes				
CDIR3	Cambridge U. Press	Bright Lights on Broadway: Theaterland	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,577 				N	5	NF		Teen/adult	9781107650220					Yes				
CDIR3	Cambridge U. Press	City Experiment: Rebuilding Greensburg, Kansas, The	Walker, Theo	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,952 				N	5	NF		Teen/adult	9781107622562					Yes				
CDIR3	Cambridge U. Press	Dangerous and Dirty Jobs	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,279 				Y	5	NF		Teen/adult	9781107645677					Yes				
CDIR3	Cambridge U. Press	Empire: Rise and Fall	Harris, Nic	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,869 				Y	4	NF		Teen/adult	9781107628441					Yes				
CDIR3	Cambridge U. Press	Greatest Invention of All Time, The	Harris, Nic	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,622 				Y	4	NF		Teen/adult	9781107621619					Yes				
CDIR3	Cambridge U. Press	How Cool is Cold!	Harris, Nic	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,956 				Y	4	NF		Teen/adult	9781107658035					Yes				
