r cabinet lighting																											
Penguin ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PAR2	Penguin	Anne of Green Gables	 Lucy Maude Montgomery	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	7,856		A	60	Y	3		Classic	teen, adult	9781408229620	9781405852050				2007	2007	Y	formerly Penguin Readers
PAR2	Penguin	Another World	 Elaine O’Reilly	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	5,054		A	44	Y	3		Original	teen, adult	9781408293119	9781405852067				2007	2007	Y	formerly Penguin Readers
PAR2	Penguin	Call of the Wild, The	Jack London	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	9,280		A	60	Y	3		Classic	teen, adult	9781408293157	9781405852074				2007	2007	Y	
PAR2	Penguin	Don Quixote	Miguel de Cervantes	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	11,223		A	60	Y	3		Classic	teen, adult	9781408270103	9781405884426				2008	2008	Y	
PAR2	Penguin	E.T.: The Extra-Terrestrial	kotzwinkle, William	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.4	6,428		A	64	Y	3		Contemporary	teen, adult	9781408293164	9781408209509				2009	2009	Y	
PAR2	Penguin	Earthquake, The	Laird, Elizabeth	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.6	5,191		A	48	Y	3		Original	teen, adult	9781408270110	9781408209516				2009	2009	Y	
PAR2	Penguin	First Emperor Of China	Jane Rollason	Penguin Active Reading	2	600	Elementary (M)	A2	2.2-2.4	4,923		A	48	Y	3		Original	teen, adult	9781408293171	9781408231982				2010	2010	Y	
PAR2	Penguin	Journey through Arabia	Andy Hopkins	Penguin Active Reading	2	600	Elementary (M)	A2	2.2-2.6	5166		A	44	N	3		Original	teen, adult	-	9781447938064				2013			
PAR2	Penguin	Kong: The Eighth Wonder of the World	Christopher Golden	Penguin Active Reading	2	600 	Elementary (M)	A2	2.2-2.6	11,277 		A	60	Y	3		Contemporary	teen, adult	9781408293126	9781405852081				2007	2007	Y	
PAR2	Penguin	Last Juror, The	Grisham, John	Penguin Active Reading	2	600 	Elementary (M)	A2	2.4-2.6	9,098 		A	64	Y	3		Contemporary	teen, adult	9781408293188	9781408261194				2011	2011	Y	
