Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MCR3	Macmillan Publishing	Kings and Queens - King Alfred and the Cakes	Paul Mason	Macmillan Children's Readers	3 - Starters/Movers	NA		A1/A1+		846		A	24	N		F/NF		Children	9780230443693	N/A	N/A	N/A		2013	2013	Y	free audio download
MCR3	Macmillan Publishing	Real Monsters - The Princess and the Dragon	Paul Shipton	Macmillan Children's Readers	3 - Starters/Movers	NA		A1/A1+		496		A	24	N		F/NF		Children	9780230010147	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR3	Macmillan Publishing	Unhappy Giant, The	Cheryl Palin	Macmillan Children's Readers	3 - Starters/Movers	NA		A1/A1+		330		A	24	N		F		Children	9781405057301	N/A	N/A	N/A		2004	2004	Y	free audio download
MCR3	Macmillan Publishing	Where Does Our Rubbish Go? - Let's Recycle!	Mark Ormerod	Macmillan Children's Readers	3 - Starters/Movers	NA		A1/A1+		816		A	24	N		F/NF		Children	9780230404946	N/A	N/A	N/A		2011	2011	Y	free audio download
MCR3	Macmillan Publishing	Wild Animals - A Hungry Visitor	Mark Ormerod	Macmillan Children's Readers	3 - Starters/Movers	NA		A1/A1+		756		A	24	N		F/NF		Children	9780230404939	N/A	N/A	N/A		2011	2011	Y	free audio download
MCR4		Chocolate, Chocolate, Everywhere!/The Chocolate Fountain	Paul Mason	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		740		A	32			F/NF		Children	9780230469228	N/A	N/A	N/A		2015	2015	Y	free audio download
MCR4	Macmillan Publishing	Dogs - The Big Show	Paul Shipton	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		756		A	24	N		F/NF		Children	9782030010185	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR4	Macmillan Publishing	Elephants / The Elephant's Friend	Lauri Kubuitsile	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		886		A	24	N		F/NF		Children	9780230443716	N/A	N/A	N/A		2013	2013	Y	free audio download
MCR4	Macmillan Publishing	Football Crazy! - What a Goal!	Amanda Cant	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		731		A	24	N		F/NF		Children	9780230010161	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR4	Macmillan Publishing	Incredible Sculptures - A Thief in the Museum	Mark Ormerod	Macmillan Children's Readers	4 - Starters/Movers	NA		A1+		562		A	24	N		F/NF		Children	9780230404977	N/A	N/A	N/A		2011	2011	Y	free audio download
