Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MYE5	Macmillan Publishing	Bronze Bust Mystery, The	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,372		A	24	N		F		Children	9781405060240	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE5	Macmillan Publishing	Fishy Business, A	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,000		E	24	N		F		Children	9781405060233	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE5	Macmillan Publishing	Five Children and It	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		11,964		A	24	N		F		Children	9781405060219	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE5	Macmillan Publishing	Secret Garden, The	Series Authors	Macmillan English Explorers	Explorers 5 - Beyond Flyers	NA		B1/B1+		10,967		A	24	N		F		Children	9781405060226	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE6	Macmillan Publishing	Ali Baba	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		16,697		A	24	N		F		Children	9780230719828	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE6	Macmillan Publishing	Danger on Misty Mountain	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		16,861		A	24	N		F		Children	9781405060318	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE6	Macmillan Publishing	Nicholas Nickleby	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		16,000		E	24	N		F		Children	9780230719880	N/A	N/A	N/A		2010	2010	Y	free audio download
MYE6	Macmillan Publishing	Railway Children	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		17,165		A	24	N		F		Children	9781405060295	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE6		Through the Looking Glass	Lewis Carroll, retold by Gill Munton	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		14,960		A	88			F		Children	9780230469303	N/A	N/A	N/A		2015	2015	Y	free audio download
MYE6	Macmillan Publishing	Time Twist	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		16,996		A	24	N		F		Children	9781405060301	N/A	N/A	N/A		2007	2007	Y	free audio download
MYE6	Macmillan Publishing	Treasure Island	Series Authors	Macmillan English Explorers	Explorers 6 - Beyond Flyers	NA		B1/B1+		17,885		A	24	N		F		Children	9781405060288	N/A	N/A	N/A		2007	2007	Y	free audio download
MEPLEA	Macmillan Publishing	Look!	Gill Budgell	Macmillan Explorers Phonics	Little Explorers A	NA		Pre-A1		150-190		E	24	N		F		Children	9780230404861	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEA	Macmillan Publishing	Run and Hide	Gill Budgell	Macmillan Explorers Phonics	Little Explorers A	NA		Pre-A1		150-190		E	24	N		F		Children	9780230404854	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEA	Macmillan Publishing	In Daisy's Box	Gill Budgell	Macmillan Explorers Phonics	Little Explorers A	NA		Pre-A1		150-190		E	24	N		F		Children	9780230404847	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEA	Macmillan Publishing	In Teddy's Bag	Gill Budgell	Macmillan Explorers Phonics	Little Explorers A	NA		Pre-A1		150-190		E	24	N		F		Children	9780230404830	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEB	Macmillan Publishing	In the Mud	Gill Budgell	Macmillan Explorers Phonics	Little Explorers B	NA		Pre-A1		250+		E	24	N		F		Children	9780230404892	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEB	Macmillan Publishing	Pin it on	Gill Budgell	Macmillan Explorers Phonics	Little Explorers B	NA		Pre-A1		250+		E	24	N		F		Children	9780230404885	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEB	Macmillan Publishing	Fish and Chips	Gill Budgell	Macmillan Explorers Phonics	Little Explorers B	NA		Pre-A1		250+		E	24	N		F		Children	9780230404908	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPLEB	Macmillan Publishing	Teddy in Bed	Gill Budgell	Macmillan Explorers Phonics	Little Explorers B	NA		Pre-A1		250+		E	24	N		F		Children	9780230404878	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE1	Macmillan Publishing	Tom's Haircut	Gill Munton	Macmillan Explorers Phonics	Young Explorers 1	NA		A1		450+		E	24	N		F		Children	9780230404786	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE1	Macmillan Publishing	Professor Green and the Snake	Gill Munton	Macmillan Explorers Phonics	Young Explorers 1	NA		A1		450+		E	24	N		F		Children	9780230404779	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE1	Macmillan Publishing	Daisy is ill	Gill Munton	Macmillan Explorers Phonics	Young Explorers 1	NA		A1		450+		E	24	N		F		Children	9780230404755	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE1	Macmillan Publishing	Crazy Cat and Fat Old Rat	Gill Munton	Macmillan Explorers Phonics	Young Explorers 1	NA		A1		450+		E	24	N		F		Children	9780230404762	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE2	Macmillan Publishing	Pirate Jack Looks for Treasure	Gill Munton	Macmillan Explorers Phonics	Young Explorers 2	NA		A1+		750+		E	24	N		F		Children	9780230404823	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE2	Macmillan Publishing	Crazy Cat and the Stars	Gill Munton	Macmillan Explorers Phonics	Young Explorers 2	NA		A1+		750+		E	24	N		F		Children	9780230404816	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE2	Macmillan Publishing	Daisy and the Big Yellow Kite	Gill Munton	Macmillan Explorers Phonics	Young Explorers 2	NA		A1+		750+		E	24	N		F		Children	9780230404809	N/A	N/A	N/A		2011	2011	Y	free audio download
MEPYE2	Macmillan Publishing	The Muddy Sheep	Gill Munton	Macmillan Explorers Phonics	Young Explorers 2	NA		A1+		750+		E	24	N		F		Children	9780230404793	N/A	N/A	N/A		2011	2011	Y	free audio download
MFR1	Macmillan Education	Baby Animals	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		250		A	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432031	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR1	Macmillan Education	Busy as a Bee	Louise P Carroll	Macmillan Factual Readers 	1+ Starters	NA		A1		334		A	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432055	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR1	Macmillan Education	Butterflies 	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		864		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230427037	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR1	Macmillan Education	Colourful Coral Reefs	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		288		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432017	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR1	Macmillan Education	Jobs People Do	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		864		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432048	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR1	Macmillan Education	Seasons	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		345		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432000	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR1	Macmillan Education	Snakes Alive	Louise P Carroll	Macmillan Factual Readers 	1+ Starters	NA		A1		864		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230431997	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR1	Macmillan Education	Trains	Thea Feldman	Macmillan Factual Readers 	1+ Starters	NA		A1		864		E	32	N	2	NF	Factual 	Children-pre-secondary school	9780230432024	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR2	Macmillan Education	Amazing Animal Senses	Claire Llewellyn	Macmillan Factual Readers 	2+ Movers	NA		A1+		737		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432062	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR2	Macmillan Education	Fur and Feathers	Claire Llewellyn	Macmillan Factual Readers 	2+ Movers	NA		A1+		864		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432086	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR2	Macmillan Education	Lorries, Trucks and Vans	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		647		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432130	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR2	Macmillan Education	What Animals Eat	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		723		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432109	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR2	Macmillan Education	Where Animals Live	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		864		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432123	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR2	Macmillan Education	What We Eat	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		754		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432093	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR2	Macmillan Education	Where We Live	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		864		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432079	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR2	Macmillan Education	Your Body	Brenda Stones	Macmillan Factual Readers 	2+ Movers	NA		A1+		864		E	32	N	4	NF	Factual 	Children-pre-secondary school	9780230432116	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR3	Macmillan Education	Cars	Chris Oxlade	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		1,526		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432208	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR3	Macmillan Education	Dinosaur World	Claire Llewellyn	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		1,415		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432192	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR3	Macmillan Education	Firefighters	Chris Oxlade	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		1,241		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432178	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR3	Macmillan Education	Minibeasts	Anita Ganeri	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		864		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432147	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR3	Macmillan Education	Record Breakers - The Biggest	Claire Llewellyn	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		864		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432154	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR3	Macmillan Education	Romans, The	Philip Steele	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		864		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432185	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR3	Macmillan Education	Vikings	Philip Steele	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		1,585		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432215	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR3	Macmillan Education	Volcanoes	Claire Llewellyn	Macmillan Factual Readers 	3+ Movers/Flyers	NA		pre-A2/A2		864		E	32	N	5	NF	Factual 	Children-pre-secondary school	9780230432161	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR4	Macmillan Education	Arctic and Antarctica, The	Philip Steele	Macmillan Factual Readers 	4+ Flyers/KET	NA		A2+		2,291		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432277	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR4	Macmillan Education	Flight	Chris Oxlade	Macmillan Factual Readers 	4+ Flyers/KET	NA 		A2+		864		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432222	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR4	Macmillan Education	Human Body, The	Anita Ganeri	Macmillan Factual Readers 	4+ Flyers/KET	NA		A2+		2,192		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432253	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR4	Macmillan Education	Pirates	Philip Steele	Macmillan Factual Readers 	4+ Flyers/KET	NA 		A2+		864		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432284	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR4	Macmillan Education	Rivers	Claire Llewellyn	Macmillan Factual Readers 	4+ Flyers/KET	NA		A2+		2,325		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432246	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR4	Macmillan Education	Sharks	Anita Ganeri	Macmillan Factual Readers 	4+ Flyers/KET	NA 		A2+		864		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432239	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR4	Macmillan Education	Spiders	Claire Llewellyn	Macmillan Factual Readers 	4+ Flyers/KET	NA		A2+		2,242		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432260	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR4	Macmillan Education	Weather	Chris Oxlade	Macmillan Factual Readers 	4+ Flyers/KET	NA 		A2+		864		E	32	N	6	NF	Factual 	Children-pre-secondary school	9780230432291	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR5	Macmillan Education	Explorers	Chris Oxlade	Macmillan Factual Readers 	5+ PET	NA		B1/B1+		4,513		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432307	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR5	Macmillan Education	Hurricanes	Chris Oxlade	Macmillan Factual Readers 	5+ PET	NA		B1/B1+		4,229		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432352	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR5	Macmillan Education	Rainforest, The	James Harrison	Macmillan Factual Readers 	5+ PET	NA 		B1/B1+		2,784		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432321	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR5	Macmillan Education	Record Breakers - The Fastest	Brenda Stones	Macmillan Factual Readers 	5+ PET	NA 		B1/B1+		2,784		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432314	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR5	Macmillan Education	Ancient Egyptians	Philip Steele	Macmillan Factual Readers 	6+ PET	NA		B1/B1+		2,784		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432376	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR5	Macmillan Education	Space	James Harrison	Macmillan Factual Readers 	6+ PET	NA		B1/B1+		2,784		E	48	N	7	NF	Factual 	Children-pre-secondary school	9780230432369	N/A	N/A	N/A		2012	2012	Y	free audio download
MFR6	Macmillan Education	Environment, The	Deborah Chancellor	Macmillan Factual Readers 	6+ PET	NA		B1/B1+		4,373		E	48	N	8	NF	Factual 	Children-pre-secondary school	9780230432345	N/A	N/A	N/A		2013	2013	Y	free audio download
MFR6	Macmillan Education	Most Dangerous, The	Philip Steele	Macmillan Factual Readers 	6+ PET	NA		B1/B1+		4,359		E	48	N	8	NF	Factual 	Children-pre-secondary school	9780230432338	N/A	N/A	N/A		2013	2013	Y	free audio download
MECR1	Macmillan	Jasper	C. J. Moore	Macmillan Heinemann ELT Children's Readers	Level 1	NA			0.4	127		E	16	N		F		Children-pre-secondary school	9780435286101	N/A	N/A	N/A				N	
MECR1	Macmillan	Where's Rose		Macmillan Heinemann ELT Children's Readers	Level 1	NA			0.5	720		E	16	N		F		Children-pre-secondary school	9780435286224	N/A	N/A	N/A				N	
MECR2	Macmillan	Crazy Sandwich Bar, The	C. J. Moore	Macmillan Heinemann ELT Children's Readers	Level 2	NA			0.4	152		E	16	N		F		Children-pre-secondary school	9780435286125	N/A	N/A	N/A				N	
MECR2	Macmillan	Jack and His Computer		Macmillan Heinemann ELT Children's Readers	Level 2	NA			0.5	332		E	16	N		F		Children-pre-secondary school	9780435286132	N/A	N/A	N/A				N	
MECR2	Macmillan	Meet the Spookies	Amanda Cant	Macmillan Heinemann ELT Children's Readers	Level 2	NA				500		E	16	N		F		Children-pre-secondary school	9780435286248	N/A	N/A	N/A				N	
MECR2	Macmillan	Speedy the Flying Camel		Macmillan Heinemann ELT Children's Readers	Level 2	NA			0.6	706		E	16	N		F		Children-pre-secondary school	9780435286231	N/A	N/A	N/A				N	
MECR3	Macmillan	Hatman's Holiday	Caroline Laidlaw	Macmillan Heinemann ELT Children's Readers	Level 3	NA				500		E	16	N		F		Children-pre-secondary school	9780435286153	N/A	N/A	N/A				N	
MECR3	Macmillan	Magnificent Mango, The		Macmillan Heinemann ELT Children's Readers	Level 3	NA			0.9	1,215		E	16	N		F		Children-pre-secondary school	9780435288211	N/A	N/A	N/A				N	
MECR3	Macmillan	Miss Electra's Friends		Macmillan Heinemann ELT Children's Readers	Level 3	NA			0.9	1,345		E	16	N		F		Children-pre-secondary school	9780435288204	N/A	N/A	N/A				N	
MECR4	Macmillan	Fastest Trolley in the World, The	C. J. Moore	Macmillan Heinemann ELT Children's Readers	Level 4	NA			0.7	425		E	16	N		F		Children-pre-secondary school	9780435286163	N/A	N/A	N/A				N	
MECR4	Macmillan	Present for Ann, A		Macmillan Heinemann ELT Children's Readers	Level 4	NA			0.4	169		E	16	N		F		Children-pre-secondary school	9780435286118	N/A	N/A	N/A				N	
MECR4	Macmillan	Race Against Time		Macmillan Heinemann ELT Children's Readers	Level 4	NA			1	1,523		E	16	N		F		Children-pre-secondary school	9780435288273	N/A	N/A	N/A				N	
MECR4	Macmillan	Salty to the Rescue		Macmillan Heinemann ELT Children's Readers	Level 4	NA			0.7	575		E	16	N		F		Children-pre-secondary school	9780435286170	N/A	N/A	N/A				N	
MECR5	Macmillan	Axle Tom	Caroline Laidlaw 	Macmillan Heinemann ELT Children's Readers	Level 5	NA				500		E	16	N		F		Children-pre-secondary school	9780435286196	N/A	N/A	N/A				N	
MECR5	Macmillan	Button Soup	Caroline Laidlaw 	Macmillan Heinemann ELT Children's Readers	Level 5	NA			0.9	604		E	16	N		F		Children-pre-secondary school	9780435286187	N/A	N/A	N/A				N	
MECR5	Macmillan	Danger at Sea		Macmillan Heinemann ELT Children's Readers	Level 5	NA			1.2	1,663		E	16	N		F		Children-pre-secondary school	9780435288327	N/A	N/A	N/A				N	
MECR5	Macmillan	Summer in the City		Macmillan Heinemann ELT Children's Readers	Level 5	NA			1.4	2,154		E	16	N		F		Children-pre-secondary school	9780435288334	N/A	N/A	N/A				N	
MMR1	Macmillan Publishing	Alissa 	C. J. Moore	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	763		A	16	Y	1	F	Human Interest	Pre-teen/Teen	9780230035782	978-1-405-07788-0	N/A	N/A		2008	2008	Y	
MMR1	Macmillan Publishing	Around the World in Eighty Days	Jules Verne	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	998		A	16	Y	1	F	Adventure/Travel	Pre-teen/Teen	978-0-2300-2674-2	N/A	9780230722729	N/A		2008	2008	Y	
MMR1	Macmillan Publishing	Blue Fins 	Sarah Axten	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	665		A	16	Y	1	F	Human Interest/ Adventure/Thriller/Spy	Pre-teen/Teen	9780230035799	978-1-405-07789-7	9780230426214	9780230426238		2005	2005	Y	
MMR1	Macmillan Publishing	Gulliver's Travel in Lilliput	Jonathan Swift	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	582		A	16	Y	1	F	Adventure 	Pre-teen/Teen	978-0-2300-2676-6	N/A	9780230722781	N/A		2008	2008	Y	
MMR1	Macmillan Publishing	In The Frame	Polly Sweetnam	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	548		A	16	Y	1	F	Travel/Adventure/Thriller/Spy	Pre-teen +	9780230035805	978-1-405-07800-9	9780230426177	9780230426191		2005	2005	Y	
MMR1	Macmillan Publishing	L.A. Detective	Philip Prowse	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	714		A	16	Y	1	F	Crime/Detection/Advenutre/Thriller/Spy	Pre-teen +	9780230035812	978-1-405-07790-3	9780230426122	9780230426153		2008	2008	Y	
MMR1	Macmillan Publishing	Lost Ship, The	Stephen Colbourn	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	734		A	16	Y	1	F	Mystery/Horror/Ghost	Pre-teen +	9780230035829	978-1-405-07791-0	9780230426474	9780230426498		2005	2005	Y	
MMR1	Macmillan Publishing	Lucky Number	John Milne	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	492		A	16	Y	1	F	Human Interest	Children +	9780230035836	978-1-405-07792-7	9780230426092	9780230491205		2005	2005	Y	
MMR1	Macmillan Publishing	Magic Barber, The	John Milne	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	536		A	16	Y	1	F	Humour/Adventure/Thriller/Spy	Children/Pre-Teen 	9780230035843	978-1-405-07793-4	9780230426887	9780230426863		2005	2005	Y	
MMR1	Macmillan Publishing	Photo Finish	Polly Sweetnam	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	901		A	16	Y	1	F	Crime/Detection/Advenutre/Thriller/Spy	Pre-teen +	9780230035850	978-1-405-07794-1	9780230426313	9780230426337		2005	2005	Y	
MMR1	Macmillan Publishing	Sara Says No!	Norman Whitney	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	752		A	16	Y	1	F	Human Interest	Children/Pre-Teen 	9780230035867	978-1-405-07795-8	9780230426351	9780230426375		2008	2008	Y	
MMR1	Macmillan Publishing	Shooting Stars	Polly Sweetnam	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	692		A	16	Y	1	F	Travel/Adventure/Thriller/Spy	Pre-teen +	9780230035874	978-1-405-07796-5	9780230426399	N/A		2008	2008	Y	
MMR1	Macmillan Publishing	Ski Race 	Eleanor Jupp	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	641		A	16	Y	1	F	Human Interest/ Adventure/Thriller/Spy	Pre-teen	9780230035881	978-1-405-07797-2	9780230426436	9780230426450		2008	2008	Y	
MMR1	Macmillan Publishing	Umbrella, The	Clare Harris	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	644		A	16	Y	1	F	Romance	Pre-Teen +	9780230035898	978-1-405-07798-9	9780230426832	9780230426856		2005	2005	Y	
MMR1	Macmillan Publishing	Well, The	Clare Harris	Macmillan Readers	Starter	300	Beginner (H)	Starter- A1 	0.8	869		A	16	Y	1	F	Mystery/Horror/Ghost	Pre-Teen  +	9780230035904	978-1-405-07799-6	9780230426795	9780230426818		2008	2008	Y	
MMR2	Macmillan Publishing	Adventures of Huckleberry Finn, The	Mark Twain	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,621		A	64	Y	4	F	Human Interest/Humour/Crime/Detection/Adventure/Thriller/Spy	Pre-Teen +	978-1-405-07234-2	N/A	9780230436978	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Adventures of Tom Sawyer, The	Mark Twain	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	7,681		A	64	Y	4	F	Human Interest/Humour/Crime/Detection/Adventure/Thriller/Spy	Pre-Teen +	9780230030336	978-1-405-07608-1	9780230718531	N/A		2007	2007	Y	
MMR2	Macmillan Publishing	Anna and the Fighter	Elizabeth Laird	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,406		A	32	Y	2	F	Human Interest/Romance	Pre-Teen +	9780230035027	978-1-405-07610-4	9780230425057	9780230425064		2008	2008	Y	
MMR2	Macmillan Publishing	Billy Budd 	Herman Melville	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	1.8-1.8	7,424		A	64	Y	4	F	Human Interest/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07227-4	N/A	9780230724600	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Black Tulip, The	Alexandre Dumas	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,653		A	64	Y	4	F	Human Interest/Adventure/Thriller/Spy	Teen-Adult	978-1-405-07228-1	N/A	9780230437104	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Dangerous Journey	Alwyn Cox	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,300		A	32	Y	2	F	Adventure/Thriller/Spy	Teen-Adult	9780230035034	978-1-405-07612-8	9780230425088	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Good Wives 	Louisa M. Alcott	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,934		A	64	Y	4	F	Human Interest/Romance	Pre-Teen +	978-1-405-07230-4	N/A	9780230728592	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	Hawk-eye, the Pathfinder	James Cooper	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	9,237		A	64	Y	4	F	Human Interest/Adventure/Thriller/Spy	Pre-Teen +	978-1-405-07231-1	N/A	9780230726499	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	House in the Picture and Abbot Thomas' Treasure, The	M. R. James	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,828		A	64	Y	4	F	Short Stories/Human Interest/Crime/Detection	Teen-Adult	978-1-405-07232-8	N/A	N/A	N/A		2005	2005	Y	
MMR2	Macmillan Publishing	House on the Hill, The	Elizabeth Laird	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	3,053		A	32	Y	2	F	Human Interest/Romance	Pre-Teen +	9781405076142	978-1-405-07614-2	9780230425842	N/A		2008	2008	Y	
MMR2	Macmillan Publishing	Jane Eyre 	Charlotte Bronte	Macmillan Readers	Beginner + (longer)	600	Elementary (M)	Beginner- A1	2.0-2.0	8,690		A	64	Y	4	F	Human Interest/Mystery/Horror/Ghost/Romance	Pre-Teen +	9781405076166	978-1-405-07616-6	9780230425132	9780230425156		2010	2010	Y	
MMR2	Macmillan Publishing	L.A. Raid 	Philip Prowse	Macmillan Readers	Beginner	600	Elementary (M)	Beginner- A1	1.4-1.4	2,985		A	32	Y	2	F	Humour/Crime/Detection	Pre-Teen +	978-1-405-07236-6	N/A	9780230437135	N/A		2005	2005	Y	
