Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PEK1		Family Island Adventure		Pearson English Kids Readers	1	200	Beginner (M)		0.4	118			16						9781447979951					2014	2014	Y	American English; free MP3 downloads for teachers & parents
PEK1	Pearson	Finding Nemo - Nemo In School		Pearson English Kids Readers (Disney)	1	200	Beginner (M)		0.4	77		A	16	Y	0				9781408288535	-				2012	2012	Y	free MP3 downloads for teachers & parents
PEK1	Pearson	Katie Grows a Bean Plant		Pearson English Kids Readers (CLIL)	1	200 	Beginner (M)		0.4	124 		A	16	Y	0				9781408288238	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK1	Pearson	Making Music		Pearson English Kids Readers (CLIL)	1	200 	Beginner (M)		0.4	115 		A	16	Y	0				9781408288214	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK1	Pearson	Wheels Go Round		Pearson English Kids Readers (CLIL)	1	200	Beginner (M)		0.4	125		A	16	Y	0				9781408288221	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK1	Pearson	Where I Live		Pearson English Kids Readers (CLIL)	1	200 	Beginner (M)		0.4	121 		A	16	Y	0				9781408288207	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK2	Pearson	Awake at Night		Pearson English Kids Readers (CLIL)	2	400	Elementary (E)		0.6	271		A	16	Y	0				9781408288283	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK2	Pearson	Clothes At Work		Pearson English Kids Readers (CLIL)	2	400	Elementary (E)		0.6	263		A	16	Y	0				9781408288139	-				2013	2013	Y	free MP3 downloads for teachers & parents
PEK2	Pearson	Let's Draw Shapes	Kay Bentley	Pearson English Kids Readers	2	400	Elementary (E)		0.6	275		A	16	Y	0		Clil	Kids, Teen	9781408288269	-				2014	2014	Y	free MP3 downloads for teachers & parents
PEK2	Pearson	Tom at the Harbour		Pearson English Kids Readers (CLIL)	2	400 	Elementary (E)		0.6	266 		A	16	Y	0				9781408288276	-				2013	2013	Y	free MP3 downloads for teachers & parents
