Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBW1	Oxford U. Press	Sister Love and Other Crime Stories	John Escott	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,565 		A		Y	4 	F	Crime and Mystery	teen & adult	978 0 19 4789219	978 0 19 478889 2	9780194637473			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	Titanic	Tim Vicary	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,600 		A		Y	4 	NF	Factfiles	teen & adult	978 0 19 4236195	978 0 19 423622 5	9780194620581			2009		Y	LLLA WINNER 2010
OBW1	Oxford U. Press	Under the Moon	Rowena Akinyemi	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,320 		A		Y	4 	F	Fantasy and Horror	teen & adult	978 0 19 4789226	978 0 19 478890 8	9780194637503			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	Washington D.C.		Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	3,200 		A		Y	4 	NF (GE)	Factfiles	teen & adult								N	
OBW1F	Oxford U. Press	Weddings Around the World	Christine Lindop	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,865 		A		N	4 	NF (GE)	Factfiles	Age 9/10+ up to adult	9780194787277	978 0 19 478726 0	9780194637534			2011		Y	Audio-BrE
OBW1	Oxford U. Press	White Death	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,600 		A		Y	4 	F	Thriller and Adventure	teen & adult	978 0 19 4789233	978 0 19 478891 5	9780194620536			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Witches of Pendle, The	Rowena Akinyemi	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,730 		A		Y	4 	NF	True Stories	teen & adult	978 0 19 4789240	978 0 19 478892 2	9780194637510			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	William and Kate	Christine Lindop	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,132 		A		N	4 	NF	Factfiles	teen & adult	978 0 19 423668 3	978 0 19 4236607	9780194637572			2013		Y	Audio-BrE
OBW1	Oxford U. Press	Withered Arm, The	Thomas Hardy, Retold by JSB	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,735 		A		Y	4 	F	Classics	teen & adult	978 0 19 4789257	978 0 19 478893 9	9780194637527			2008		Y	LLLA Finalist 2005. Audio-BrE
OBW1	Oxford U. Press	Wizard of Oz, The	L. Frank Baum	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,440 		A		Y	4 	F	Fantasy and Horror	Age 9/10+ up to adult	978 0 19 4789264	978 0 19 478894 6	9780194620543			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Agatha Christie, Woman of Mystery	John Escott	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,955 		A		Y	5 	F	True Stories	teen & adult	978 0 19 4790505	978 0 19 479012 3	9780194620727			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Alice's Adventures in Wonderland	Lewis Carroll, Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,315 		A		Y	5 	F	Classics	Age 9/10+ up to adult	978 0 19 4790512	978 0 19 479013 0	9780194620734			2008		Y	Audio-BrE
OBW2		Amelia Earhart	Janet Hardy-Gould	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	8,703 		A			5 	NF	Biography		9780194237956	9780194237932	9780194637589				2014	Y	LLLA FINALIST 2015; Audio-AmE
OBW2	Oxford U. Press	Anne of Green Gables	L. M. Montgomery	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,860 		A		Y	5 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4790529	978 0 19 479052 9	9780194620741			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Beautiful Game, The	Steve Flinders	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,015 		A		Y	5 	F	Sports	Age 9/10+ up to adult	978 0 19 4236355	978 0 19 423638 6				2009		Y	Audio-BrE
OBW2F	Oxford U. Press	California		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF (GE)		teen & adult								N	
OBW2	Oxford U. Press	Canterville Ghost, The	Oscar Wilde, Retold by John Escott	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,100 		A		Y	5 	F	Fantasy and Horror	Age 9/10+ up to adult	978 0 19 4790536	978 0 19 479015 4	9780194620642			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Changing their Skies: Stories from Africa	Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,987 		A		Y	5 	F	World Stories	older teen & adult	978 0 19 4790826	9780194792769				2008		Y	Audio-BrE
OBW2	Oxford U. Press	Children of the New Forest, The	Captain Marryat, Retold by Rowena Akinyemi	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,605 		A		Y	5 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4790543	978 0 19 479016 1	9780194637602			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Chocolate	Janet Hardy-Gould	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,591 		A		Y	5 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 478730 7	978 0 19 478729 1	9780194637749			2011		Y	Audio-BrE
OBW2F	Oxford U. Press	Climate Change	Barnaby Newbolt	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,151 		A		Y	5 	NF	Factfiles	teen & adult	978 0 19 4236317	978 0 19 423634 8	9780194637756			2009		Y	Audio-BrE
OBW2	Oxford U. Press	Cries from the Heart - Stories from Around the World	Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,683 		A		Y	5 	F	World Stories	older teen & adult	978 0 19 4790840	978 0 19 479046 8				2008		Y	LLLA Finalist 2009, Audio-BrE
OBW2	Oxford U. Press	Dead Man's Island	John Escott	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,215 		A		Y	5 	F	Thriller and Adventure	teen & adult	978 0 19 4790550	978 0 19 479017 8	9780194620659			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Death in the Freezer	Tim Vicary	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,180 		A		Y	5 	F	Crime and Mystery	teen & adult	978 0 19 4790567	978 0 19 4790185	9780194620758			2008		Y	Audio-AmE
OBW2	Oxford U. Press	Death of Karen Silkwood, The	Joyce Hannam	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,585 		A		Y	5 	NF	True Stories	teen & adult	978 0 19 4790574	978 0 19 479019 2	9780194620826			2008		Y	Audio-AmE
OBW2	Oxford U. Press	Dracula	Bram Stoker, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,875 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790581	978 0 19 479020 8	9780194620666			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Ear-rings from Frankfurt	Reg Wright	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,422 		A		Y	5 	F	Thriller and Adventure	teen & adult	978 0 19 4790598	978 0 19 479021 5	9780194620765			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Five Children and It	Edith Nesbit, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,945 		A		Y	5 	F	Fantasy and Horror	Age 9/10+ up to adult	978 0 19 4790604	978 0 19 479022 2	9780194637619			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Football		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF (SP)		teen & adult								N	
OBW2F	Oxford U. Press	Forty Years of Pop		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF		teen & adult								N	
OBW2	Oxford U. Press	Ghosts International: Troll and Other Stories	Edith Nesbit	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,808 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4793865	978 0 19 479384 1	9780194637626			2012		Y	Audio-BrE
OBW2	Oxford U. Press	Grace Darling	Tim Vicary	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,685 		A		Y	5 	NF	True Stories	teen & adult	978 0 19 4790611	978 0 19 479023 9	9780194637633			2008		Y	Audio-BrE
OBW2P	Oxford U. Press	Hamlet	William Shakespeare, Retold by Alistair McCallum	Oxford Bookworms Library: Playscripts	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,945 		A		Y	5 	F	Playscripts	teen & adult	978 0 19 4235174	9780194235297	9780194620871			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Henry VIII and his Six Wives	Janet Hardy-Gould	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,310 		A		Y	5 	NF	True Stories	teen & adult	978 0 19 4790628	978 0 19 479024 6	9780194620673			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Huckleberry Finn	Mark Twain, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,180 		A		Y	5 	F	Classics	teen & adult	978 0 19 4790635	978 0 19 479025 3	9780194620895			2008		Y	Audio-AmE
OBW2P	Oxford U. Press	Importance of Being Earnest, The	Oscar Wilde, Retold by Susan Kingsley	Oxford Bookworms Library: Playscripts	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,347 		A		Y	5 	F	playscripts	teen & adult	978 0 19 4235181	978 0 19 423530 3	9780194637695			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Ireland	Tim Vicary	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,120 		A		Y	5 	NF (GE)	Factfiles	teen & adult	978 0 19 4233859	978 0 19 423584 6	9780194637763			2008		Y	Audio-BrE
OBW2F		John F. Kennedy	Anne Collins	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,857 		A			5 	NF	Factfiles	teen & adult	9780194236720	9780194236645	9780194620703				2014	Y	Audio-BrE
OBW2	Oxford U. Press	Jungle Book, The	Rudyard Kipling, Retold by Ralph Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,510 		A		Y	5 	F	Classics	teen & adult	978 0 19 4790642	978 0 19 479026 0	9780194620772			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Leonardo da Vinci	Alex Raynham	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,033 		A		N	5 	NF	Factfiles	teen & adult	978 0 19 423670 6	978 0 19 423662 1	9780194620864			2013		Y	Audio-BrE
OBW2	Oxford U. Press	Love among the Haystacks	D. H. Lawrence, Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	7,030 		A		Y	5 	F	Classics	teen & adult	978 0 19 4790802	978 0 19 479042 0	9780194637640			2008		Y	LLLA WINNER 2005. Audio-BrE
OBW2	Oxford U. Press	Love of a King, The	Peter Dainty	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,150 		A		Y	5 	NF	True Stories	teen & adult	978 0 19 4790864	978 0 19 479086 4	9780194637657			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Marco Polo and the Silk Road	Janet Hardy-Gould	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,700 		A		Y	5 	NF (GE)	Factfiles	teen & adult	978 0 19 4236393	978 0 19 423642 3	9780194637770			2010		Y	Audio-BrE
OBW2	Oxford U. Press	Matty Doolin	Catherine Cookson, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,580 		A		Y	5 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4790659					2008		Y	
OBW2P	Oxford U. Press	Much Ado about Nothing	William Shakespeare, Retold by Alistair McCallum	Oxford Bookworms Library: Playscripts	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,687 		A		Y	5 	F	Playscripts	teen & adult	978 0 19 4235198 9780194209540	9780194235310	9780194620888			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Murders in the Rue Morgue, The	Edgar Allan Poe, Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,995 		A		Y	5 	F	Crime and Mystery	teen & adult	978 0 19 4790789	978 0 19 479040 6	9780194620789			2008		Y	Audio-AmE
OBW2	Oxford U. Press	Mystery of Allegra, The	Peter Foreman	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,115 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790666	978 0 19 479028 4	9780194637664			2008		Y	Audio-BrE
OBW2	Oxford U. Press	New Yorkers - Short Stories	O. Henry, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,895 		A		Y	5 	F	Human Interest	teen & adult	978 0 19 4790673	978 0 19 479290 5	9780194620710			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Nursing		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	4,200 		E		Y	5 	NF		teen & adult								N	
OBW2F	Oxford U. Press	Oceans	Barnaby Newbolt	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,778 		A		Y	5 	NF	Factfiles	Age 9/10+ up to adult	978 0 19 479443 5	978 0 19 479442 8	9780194637787			2012		Y	Audio-BrE
OBW2F		Olympic Games, The	Alex Raynham	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,448 		A			5 	NF	Factfiles		9780194209571	9780194209434	9780194620840				2016	Y	Audio-BrE
OBW2P	Oxford U. Press	One Thousand Dollars and Other Plays	O. Henry, Retold by John Escott	Oxford Bookworms Library: Playscripts	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,333 		A		Y	5 	F	Playscripts	teen & adult	978 0 19 4235204	978 0 19 423532 7	9780194637671			2008		Y	Audio-AmE
OBW2F	Oxford U. Press	Oxford		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF (GE)		teen & adult								N	
OBW2	Oxford U. Press	Piano, The	Rosemary Border	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,070 		A		Y	5 	F	Human Interest	teen & adult	978 0 19 4790680	978 0 19 479030 7	9780194620796			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Pit and the Pendulum and Other Stories, The	Edgar Allan Poe, Retold by John Escott	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,000 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790871	978 0 19 479049 9	9780194637688			2008		Y	Audio-AmE
OBW2F	Oxford U. Press	Pollution		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF (SC)		teen & adult								N	
OBW2		Prince and the Pauper, The	Mark Twain, Retold by Alex Rayhham	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	9,304 		A			5 	F			9780194237895	9780194237871	9780194637596				2014	Y	Audio-BrE
OBW2F	Oxford U. Press	Rainforests	Rowena Akinyemi	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,480 		A		Y	5 	NF (SC)	Factfiles	teen & adult	978 0 19 4233811	978 0 19 423586 0	9780194637794			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Red Dog	Louis de Bernieres, Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,480 		A		Y	5 	F	True Stories	teen & adult	978 0 19 4790833	978 0 19 479045 1	9780194204330			2010		Y	Audio-BrE
OBW2	Oxford U. Press	Return to Earth	John Christopher, Retold by Susan Binder	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,250 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790697	978 0 19 479031 4	9780194204361			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Robinson Crusoe	Daniel Defoe, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,830 		A		Y	5 	F	Classics	teen & adult	978 0 19 4790703	978 0 19 479032 1	9780194620680			2008		Y	Audio-BrE
OBW2P	Oxford U. Press	Romeo and Juliet	William Shakespeare, Retold by Alistair McCallum	Oxford Bookworms Library: Playscripts	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,306 		A		Y	5 	F	Playscripts	teen & adult	978 0 19 4235211	978 0 19 423533 4	9780194620833			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Seasons and Celebrations	Jackie Maguire	Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,508 		A		Y	5 	NF	Factfiles	teen & adult	978 0 19 4233835	978 0 19 423383 5	9780194620819			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Sherlock Holmes Short Stories	Sir Arthur Conan Doyle, Retold by Clare West	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,280 		A		Y	5 	F	Crime and Mystery	teen & adult	978 0 19 4790710	9780194235884	9780194620697			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	Soccer		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	2,900 		E		Y	5 	NF (SP)		teen & adult								N	
OBW2	Oxford U. Press	Songs from the Soul	Retold by Jennifer Bassett	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,963 				N	5 	F	World Stories	teen & adult	978 0 19 479361 2	978 0 19 479044 4				2011		Y	Audio-BrE
OBW2	Oxford U. Press	Stories from the Five Towns	Arnold Bennett, Retold by Nick Bullard	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,540 		A		Y	5 	F	Human Interest	teen & adult	978 0 19 4790727	978 0 19 479034 5	9780194637701			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Stranger at Green Knowe, A	Lucy M. Boston, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,300 		A		Y	5 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4790734					2008		Y	
OBW2		Summer Interm, The	Helen Salter	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,740 		A			5 	F			9780194238038		9780194620611				2016	Y	Audio-BrE
OBW2	Oxford U. Press	Tales from Longpuddle	Thomas Hardy, Retold by JSB	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,490 		A		Y	5 	F	Classics	teen & adult	978 0 19 4790796	978 0 19 479041 3	9780194637718			2008		Y	Audio-BrE
OBW2	Oxford U. Press	Too Old to Rock and Roll and Other Stories	Jan Mark, Retold by Diane Mowat	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,310 		A		Y	5 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4790741					2008		Y	
OBW2F	Oxford U. Press	Tourism		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,800 		E		Y	5 	NF		teen & adult								N	
OBW2F	Oxford U. Press	U.F.O.s		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF		teen & adult								N	
OBW2F	Oxford U. Press	Under the Ground		Oxford Bookworms Library: Factfiles	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	3,600 		E		Y	5 	NF		teen & adult								N	
OBW2	Oxford U. Press	Voodoo Island	Michael Duckworth	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	5,910 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790758	978 0 19 479037 6	9780194620802			2008		Y	Audio-BrE
OBW2	Oxford U. Press	William Shakespeare	Jennifer Bassett	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	9,135 		A		Y	5 	NF	True Stories	teen & adult	978 0 19 4790765	978 0 19 479038 3	9780194637725			2008		Y	Audio-BrE
OBW2F	Oxford U. Press	World Wonders	Barnaby Newbolt	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,738 		A		N	5 	NF	factfiles	teen & adult	978 0 19 423776 5	978 0 19 423779 6	9780194637800			2011		Y	Audio-BrE
OBW2	Oxford U. Press	Year of Sharing, The	Harry Gilbert	Oxford Bookworms Library	Stage 2	700 	Elementary (H)	A2/B1	2.6-2.8	6,390 		A		Y	5 	F	Fantasy and Horror	teen & adult	978 0 19 4790772	978 0 19 479039 0	9780194637732			2008		Y	Audio-BrE
OBW3F		Animal Kingdom	Rachel Bladon	Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	7,825 		A			6 	NF	Factfiles	teen & adult	9780194236744	9780194236669	9780194637893				2014	Y	Audio-BrE
OBW3	Oxford U. Press	As the Inspector Said and Other Stories	Retold by John Escott	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	9,600 		A		Y	6 	F	Crime and Mystery	teen & adult	978 0 19 4791083	978 0 19 479292 9				2008		Y	
OBW3F	Oxford U. Press	Australia and New Zealand	Christine Lindop	Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,270 		A		Y	6 	NF (GE)	factfiles	teen & adult	978 0 19 4233903	978 0 19 423591 4	9780194637909			2008		Y	Audio-BrE
OBW3	Oxford U. Press	Bronte Story, The	Tim Vicary	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,600 		A		Y	6 	NF	True Stories	teen & adult	978 0 19 4791090		9780194637831			2008		Y	Audio-BrE
OBW3	Oxford U. Press	Call of the Wild, The	Jack London, Retold by Nick Bullard	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,965 		A		Y	6 	F	Classics	teen & adult	978 0 19 4791106	9780194792936	9780194620987			2008		Y	Audio-AmE
OBW3	Oxford U. Press	Card, The	Arnold Bennett, Retold by Nick Bullard	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	11,100 		A		Y	6 	F	Human Interest	teen & adult	978 0 19 4791113	9780194637848				2008		Y	Audio-BrE
OBW3	Oxford U. Press	Chemical Secret	Tim Vicary	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,150 		A		Y	6 	F	Thriller and Adventure	teen & adult	978 0 19 4791120	978 0 19 479294 3	9780194620901			2008		Y	Audio-BrE
OBW3	Oxford U. Press	Christmas Carol, A	Charles Dickens, Retold by Clare West	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,385 		A		Y	6 	F	Classics	teen & adult	978 0 19 4791137	9780194792950	9780194620918			2008		Y	Audio-BrE
OBW3F	Oxford U. Press	Cinema, The		Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	5,600 		E		Y	6 	NF		teen & adult								N	
OBW3F	Oxford U. Press	Commerce		Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	6,300 		E		Y	6 	NF (HI)		teen & adult								N	
OBW3	Oxford U. Press	Crown of Violet, The	Geoffrey Trease, Retold by John Escott	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,800 		A		Y	6 	F	Thriller and Adventure	teen & adult	978 0 19 4791144					2008		Y	Audio-BrE
OBW3	Oxford U. Press	Cup of Kindness: Stories from Scotland, A	Retold by JSB	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	11,205 		A		Y	6 	F	World Stories	teen & adult	978 0 19 4791403	978 0 19 479283 7				2010		Y	Audio-BrE
OBW3	Oxford U. Press	Dancing with Strangers: Stories from Africa	Retold by Clare West	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	11,990 		A		Y	6 	F	World Stories	teen & adult	9780194791977	978 0 19 479277 6				2008		Y	LLLA Finalist 2009, Audio-BrE
OBW3F	Oxford U. Press	Dinosaurs	Tim Vicary	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,021 		A		N	6 	NF	Factfiles	teen & adult	978 0 19 479446 6	978 0 19 479445 9	9780194637954			2012		Y	Audio-BrE
OBW3	Oxford U. Press	Ethan Frome	Edith Wharton, Retold by Susan Kingsley	Oxford Bookworms Library	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,700 		A		Y	6 	F	Classics	teen & adult	978 0 19 4791151	9780194792998	9780194637817			2008		Y	Audio-AmE
OBW3F	Oxford U. Press	Everest Story, The	Tim Vicary	Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	10,150 		A		Y	6 	NF	factfiles	teen & adult	978 0 19 4236430	9780194236461	9780194637886			2010		Y	LLLA Winner 2011, Audio-BrE
OBW3F	Oxford U. Press	Food and Drink in Britain		Oxford Bookworms Library: Factfiles	Stage 3	1,000 	Intermediate (E)	B1	3.2-3.4	5,600 		E		Y	6 	NF		teen & adult								N	
