Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBWS	Oxford U. Press	Red Roses	Christine Lindop	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,700 		A	48	Y	1 	F	Human Interest	teen & adult	978 0 19 4234344	9780194236515	9780194637329			2008		Y	Audio-AmE
OBWS	Oxford U. Press	Robin Hood	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	960 		A	48	Y	1 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4234160	not available				2008		Y	comic strip
OBWS	Oxford U. Press	Sally's Phone	Christine Lindop	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,400 		A	48	Y	1 	F	Human Interest	teen & adult	978 0 19 4234269	9780194236539	9780194620253			2008		Y	LLLA Finalist 2004, Audio-BrE
OBWS	Oxford U. Press	Star Reporter	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	960 		A	48	Y	1 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4234177	not available				2008		Y	comic strip
OBWS	Oxford U. Press	Starman	Foster and Burrows	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,600 		A	48	Y	1 	F	Fantasy and Horror	teen & adult	978 0 19 4234276	9780194236553	9780194637343			2008		Y	Audio-BrE
OBWS	Oxford U. Press	Survive!	Helen Brooke	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	1.0-1.2	1,540 		A	48	Y	1 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4234306	not available				2008		Y	interactive story (the reader chooses the path to take through the story)
OBWS	Oxford U. Press	Taxi of Terror	Foster and Burrows	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	970 		A	48	Y	1 	F	Thriller and Adventure	teen & adult	978 0 19 4234184	not available				2008		Y	comic strip
OBWS	Oxford U. Press	Vampire Killer	Paul Shipton	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	1,160 		A	48	Y	1 	F	Fantasy and Horror	teen & adult	978 0 19 4234191	not available				2008		Y	comic strip
OBWS	Oxford U. Press	White Stones, The	Lester Vaughan	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	1.0-1.2	1,850 		A	48	Y	1 	F	Thriller and Adventure	teen & adult	978 0 19 4234313	not available				2008		Y	interactive story (the reader chooses the path to take through the story)
OBW1	Oxford U. Press	Adventures of Tom Sawyer, The	Mark Twain	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,825 		A		Y	4 	F	Classics	Age 9/10+ up to adult	978 0 19 4789004	978 0 19 4788687	9780194620321			2008		Y	Audio-AmE
